Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,G950-04226-02,2020-08-05T08:47:03Z,M39,LED-M3905,WIP0804105APAM07A,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:49:35Z,N19,LED-N1904,WIP0803105APAL2JH,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:50:29Z,M39,LED-M3905,WIP0804105APAM074,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:52:05Z,M29,LED-M2905,WIP0804105APALKXP,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:53:43Z,M39,LED-M3905,WIP0804105APAM067,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:53:43Z,N19,LED-N1904,WIP0803105APAL2HK,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:54:48Z,M29,LED-M2904,WIP0804105APALKXM,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:55:35Z,N19,LED-N1902,WIP0803105APAL2HA,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:01:01Z,M39,LED-M3901,WIP0804105APAM050,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:05:13Z,M39,LED-M3905,WIP0804105APAM04B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:05:13Z,M39,LED-M3905,WIP0804105APAM04B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:06:51Z,N19,LED-N1905,WIP0803105APAL2F8,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:08:22Z,M39,LED-M3901,WIP0804105APAM03P,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:10:07Z,N39,LED-N3905,WIP0804105APALN7D,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:12:15Z,M29,LED-M2904,WIP0804105APALKUW,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:16:26Z,N29,LED-N2905,WIP0804105APALVPM,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:17:58Z,M29,LED-M2904,WIP0804105APALKUU,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:18:49Z,M39,LED-M3905,WIP0804105APAM020,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:19:54Z,N19,LED-N1901,WIP0803105APAL2H3,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:21:13Z,M39,LED-M3903,WIP0804105APAM023,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:22:41Z,N39,LED-N3901,WIP0804105APALN7F,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:21:13Z,M39,LED-M3903,WIP0804105APAM023,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:23:58Z,M29,LED-M2901,WIP0804105APALKRE,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:21:13Z,M39,LED-M3903,WIP0804105APAM023,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:25:43Z,N29,LED-N2903,WIP0804105APALVYA,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:26:11Z,N29,LED-N2902,WIP0804105APALVMX,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:29:08Z,M29,LED-M2903,WIP0804105APALKPD,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:30:45Z,N29,LED-N2905,WIP0804105APALVMW,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:32:00Z,N19,LED-N1905,WIP0803105APAL2AG,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:34:48Z,M39,LED-M3905,WIP0804105APALYXU,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:36:59Z,N29,LED-N2905,WIP0804105APALVM9,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:19:54Z,N19,LED-N1901,WIP0803105APAL2H3,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:21:13Z,M39,LED-M3903,WIP0804105APAM023,device offline,device offline YES,0,0,0,0,1,
