Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,GA00781-GB,2020-08-05T08:43:51Z,K49,PROVISION-K4909,WIP0803105APAKNL3,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:43:51Z,K49,PROVISION-K4909,WIP0803105APAKNM8,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:43:51Z,K49,PROVISION-K4909,WIP0803105APAKNLC,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,

2020-08-04,D,GA00781-ES,2020-08-04T19:53:53Z,L29,PROVISION-L2908,WIP0803105APAL7X2,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-04,D,GA00781-ES,2020-08-04T19:53:53Z,L29,PROVISION-L2908,WIP0803105APAKWTW,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-04,D,GA00781-ES,2020-08-04T17:00:58Z,L29,PROVISION-L2902,WIP0803105APAKLJE,"flash_fsi
","flash_fsi  FAIL
",0,1,0,0,0,
2020-08-04,D,GA00781-ES,2020-08-04T19:53:53Z,L29,PROVISION-L2908,WIP0803105APAL7XD,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:43:57Z,L29,PROVISION-L2903,WIP0803105APALB38,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:44:24Z,L29,PROVISION-L2903,WIP0803105APALB34,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:44:15Z,L29,PROVISION-L2908,WIP0803105APAL4B3,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-04,D,GA00781-ES,2020-08-04T16:36:05Z,L29,PROVISION-L2902,WIP0803105APAKMDE,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:16:32Z,L29,PROVISION-L2905,WIP0803105APAL7HB,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:18:26Z,L29,PROVISION-L2905,WIP0803105APAL34C,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
