Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE

2020-08-05,D,G950-04226-02,2020-08-05T08:34:14Z,M39,MMI-M3904,WIP0804105APAM0A8,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:35:19Z,M39,MMI-M3902,WIP0804105APAM098,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:35:45Z,N29,MMI-N2901,WIP0804105APALW1D,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:35:53Z,N19,MMI-N1904,WIP0803105APAL2MY,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:35:45Z,N29,MMI-N2901,WIP0804105APALW1D,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:37:39Z,N19,MMI-N1903,WIP0803105APAL2MF,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:38:04Z,M29,MMI-M2903,WIP0804105APALL17,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:37:39Z,N19,MMI-N1903,WIP0803105APAL2MF,device offline,device offline YES,0,0,0,0,1,


2020-08-05,D,G950-04226-02,2020-08-05T08:40:42Z,N19,MMI-N1902,WIP0803105APAL2M0,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:41:05Z,M39,MMI-M3903,WIP0804105APAM0C3,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:41:30Z,N19,MMI-N1901,WIP0803105APAL2LT,device offline,device offline YES,0,0,0,0,1,

2020-08-05,D,G950-04226-02,2020-08-05T08:23:13Z,N29,MMI-N2901,WIP0804105APALW24,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:44:47Z,N19,MMI-N1904,WIP0803105APAL2R0,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:44:48Z,N19,MMI-N1901,WIP0803105APAL2M7,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:44:50Z,M39,MMI-M3903,WIP0804105APAM0A1,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:44:50Z,M39,MMI-M3903,WIP0804105APAM0A1,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:45:07Z,N39,MMI-N3902,WIP0804105APALNAC,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:45:14Z,M39,MMI-M3901,WIP0804105APAM04K,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:45:07Z,N39,MMI-N3902,WIP0804105APALNAC,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:44:48Z,N19,MMI-N1901,WIP0803105APAL2M7,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:47:08Z,M39,MMI-M3902,WIP0804105APAM095,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:47:41Z,N29,MMI-N2901,WIP0804105APALVWT,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:48:06Z,M39,MMI-M3903,WIP0804105APAM07D,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:48:06Z,M39,MMI-M3903,WIP0804105APAM07D,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:49:08Z,N29,MMI-N2903,WIP0804105APALVYJ,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:49:08Z,N29,MMI-N2903,WIP0804105APALVYJ,"dut_offline
LED_white
LED_Blue_Red_Yellow_Green
","dut_offline  YES
LED_white  None
LED_Blue_Red_Yellow_Green  None
",1,0,0,0,0,
