Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-07-11,D,GA01919-US,2020-07-11T09:12:59Z,F4-C54,0EE_F4-C54_FATP-QT_04,WIP07101HFAK00V6P,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:11:54Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00V6D,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:51:01Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07091HFAK00T1B,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",0,1,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T17:31:29Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07091HFAK00RHU,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:29:34Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00V8E,"I_Active
","I_Active  0.002576
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:10:55Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00V6E,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:33:09Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00V8X,"I_Active
","I_Active  0.002545
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:34:21Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00V90,"Write_wipsn
","Write_wipsn  PRGSER_2_WIP07101HFAK00V90
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:37:37Z,F4-C14,0EE_F4-C14_FATP-QT_02,WIP07101HFAK00TGR,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T08:57:15Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00V4W,"Button_check_0_SW6_UP-maxforce-2.3N
","Button_check_0_SW6_UP-maxforce-2.3N  _0+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:40:57Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07101HFAK00TEV,"I_Active
","I_Active  0.002527
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:46:54Z,F4-C14,0EE_F4-C14_FATP-QT_02,WIP07101HFAK00TCU,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T10:26:44Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00VDU,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T10:25:08Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00VCY,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  None
QT2_IR_Decode_Up  None
QT2_IR_Decode_Down  None
QT2_IR_Decode_Left  None
QT2_IR_Decode_Right  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T10:25:55Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00VD2,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  None
QT2_IR_Decode_Up  None
QT2_IR_Decode_Down  None
QT2_IR_Decode_Left  None
QT2_IR_Decode_Right  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T10:25:09Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00VCM,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  None
QT2_IR_Decode_Up  None
QT2_IR_Decode_Down  None
QT2_IR_Decode_Left  None
QT2_IR_Decode_Right  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:46:30Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00VA0,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:54:18Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00VA5,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:52:18Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00VA3,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T11:07:05Z,F4-C14,0EE_F4-C14_FATP-QT_01,WIP07101HFAK00TV7,"QT2_IR_Intensity_Center
","QT2_IR_Intensity_Center  1.653575757575757
",0,0,1,0,0,
2020-07-11,D,GA01919-US,2020-07-11T10:47:29Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00VF2,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",0,1,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T10:23:13Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00VDF,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T10:22:14Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00VDC,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T11:21:53Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07101HFAK00TWC,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  FAIL
QT2_IR_Decode_Up  FAIL
QT2_IR_Decode_Down  FAIL
QT2_IR_Decode_Left  FAIL
QT2_IR_Decode_Right  FAIL
",0,1,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T11:21:47Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07101HFAK00TX6,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  FAIL
QT2_IR_Decode_Up  FAIL
QT2_IR_Decode_Down  FAIL
QT2_IR_Decode_Left  FAIL
QT2_IR_Decode_Right  FAIL
",0,1,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T11:21:41Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07101HFAK00TX2,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  FAIL
QT2_IR_Decode_Up  FAIL
QT2_IR_Decode_Down  FAIL
QT2_IR_Decode_Left  FAIL
QT2_IR_Decode_Right  FAIL
",0,1,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T11:14:42Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00VJV,"Button_check_1_SW8_DOWN-maxforce-2.3N
","Button_check_1_SW8_DOWN-maxforce-2.3N  _1+OK_0#
",0,1,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:56:52Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00V9W,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",0,1,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T12:35:47Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00VNX,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T12:37:25Z,F4-C14,0EE_F4-C14_FATP-QT_02,WIP07101HFAK00U33,"Button_check_14_SW_Side_volume_down-maxforce-3.5N
","Button_check_14_SW_Side_volume_down-maxforce-3.5N  _14+OK_0#
",0,0,1,0,0,
2020-07-11,D,GA01919-US,2020-07-11T12:42:59Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00VPR,"Button_check_0_SW6_UP-maxforce-2.3N
Button_check_1_SW8_DOWN-maxforce-2.3N
","Button_check_0_SW6_UP-maxforce-2.3N  _0+OK_0#
Button_check_1_SW8_DOWN-maxforce-2.3N  _1+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T12:49:48Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07101HFAK00U51,"Boot_init
","Boot_init  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T12:52:45Z,F4-C14,0EE_F4-C14_FATP-QT_02,WIP07101HFAK00U65,"Button_check_14_SW_Side_volume_down-maxforce-3.5N
","Button_check_14_SW_Side_volume_down-maxforce-3.5N  _14+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T11:26:08Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07101HFAK00TY5,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  FAIL
QT2_IR_Decode_Up  FAIL
QT2_IR_Decode_Down  FAIL
QT2_IR_Decode_Left  FAIL
QT2_IR_Decode_Right  FAIL
",1,0,0,0,0,
