2023-06-20T09:01:06Z,S36,UIA_F6-S36_FFT_01,WIP3616MUIAX001LF,"Sperker_test_check
","Sperker_test_check  
"
2023-06-20T12:58:36Z,S36,UIA_F6-S36_FFT_01,WIP3616MUIAX001KM,"BatteryCapacity
","BatteryCapacity  23
"
2023-06-20T12:59:22Z,S36,UIA_F6-S36_FFT_01,WIP3616MUIAX001KM,"BatteryCapacity
","BatteryCapacity  24
"
2023-06-20T12:59:26Z,S36,UIA_F6-S36_FFT_01,WIP3616MUIAX001KM,"BatteryCapacity
","BatteryCapacity  24
"
