Station,Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SCOF
FATP,2019-10-28,D,P2-SDOE7,2019-10-28T08:44:54Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_01,WIP9A24105DD00244,"WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
","WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  9.58
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE5,2019-10-28T09:31:57Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_02,WIP9A24105DD0021P,"WIFI_AC_BW40_MCS9_CH159_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH165_C0_P16.0_max_txp_avg
WIFI_N_BW20_MCS7_CH100_C0_P14.0_max_txp_avg
WIFI_AG_BW20_OFDM-54_CH100_C0_P15.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg
WIFI_N_BW40_MCS0_CH159_C0_P15.0_max_txp_avg
WIFI_N_BW20_MCS7_CH165_C0_P14.0_max_txp_avg
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg
WIFI_AC_BW40_MCS9_CH102_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH100_C0_P16.0_max_txp_avg
WIFI_N_BW20_MCS7_CH165_C0_P-67.0_sense_per
WIFI_AC_BW80_MCS9_CH155_C0_P9.0_max_txp_avg
WIFI_N_BW20_MCS0_CH100_C0_P16.0_max_txp_avg
WIFI_AG_BW20_OFDM-54_CH165_C0_P15.0_max_txp_avg
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg
WIFI_AC_BW80_MCS9_CH122_C0_P9.0_max_txp_avg
WIFI_N_BW20_MCS0_CH165_C0_P16.0_max_txp_avg
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_sense_per
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_rx_level
WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
WIFI_N_BW40_MCS0_CH102_C0_P15.0_max_txp_avg
","WIFI_AC_BW40_MCS9_CH159_C0_P9.0_max_txp_avg  0.64
WIFI_AG_BW20_OFDM-6_CH165_C0_P16.0_max_txp_avg  7.5
WIFI_N_BW20_MCS7_CH100_C0_P14.0_max_txp_avg  9.74
WIFI_AG_BW20_OFDM-54_CH100_C0_P15.0_max_txp_avg  10.31
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg  22.47
WIFI_N_BW40_MCS0_CH159_C0_P15.0_max_txp_avg  6.38
WIFI_N_BW20_MCS7_CH165_C0_P14.0_max_txp_avg  5.23
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg  20.22
WIFI_AC_BW40_MCS9_CH102_C0_P9.0_max_txp_avg  4.29
WIFI_AG_BW20_OFDM-6_CH100_C0_P16.0_max_txp_avg  11.54
WIFI_N_BW20_MCS7_CH165_C0_P-67.0_sense_per  99.4
WIFI_AC_BW80_MCS9_CH155_C0_P9.0_max_txp_avg  0.79
WIFI_N_BW20_MCS0_CH100_C0_P16.0_max_txp_avg  11.68
WIFI_AG_BW20_OFDM-54_CH165_C0_P15.0_max_txp_avg  6.14
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg  22.59
WIFI_AC_BW80_MCS9_CH122_C0_P9.0_max_txp_avg  3.23
WIFI_N_BW20_MCS0_CH165_C0_P16.0_max_txp_avg  7.43
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg  14.37
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_sense_per  57.8
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_rx_level  -78.0
WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  19.89
WIFI_N_BW40_MCS0_CH102_C0_P15.0_max_txp_avg  10.21
",1,0,0,0,
FATP,2019-10-28,D,SP2M2-RCP2,2019-10-28T08:57:32Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_03,WIP9A23105DD001P0,"WIFI_B_BW20_CCK-11_CH7_C0_P-82.0_sense_per
","WIFI_B_BW20_CCK-11_CH7_C0_P-82.0_sense_per  68.8
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE3,2019-10-28T11:22:54Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_02,WIP9A25105DD0028X,"WIFI_AC_BW80_MCS9_CH155_C1_P-52.0_sense_per
","WIFI_AC_BW80_MCS9_CH155_C1_P-52.0_sense_per  72.0
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE3,2019-10-28T12:23:51Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_03,WIP9A25105DD00299,"WIFI_N_BW20_MCS0_CH13_C1_P-82.0_sense_per
WIFI_N_BW20_MCS7_CH7_C1_P-67.0_sense_per
","WIFI_N_BW20_MCS0_CH13_C1_P-82.0_sense_per  23.6
WIFI_N_BW20_MCS7_CH7_C1_P-67.0_sense_per  77.4
",1,0,0,0,
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
FATP,2019-10-28,D,SP2M5-JDP4,2019-10-28T13:07:41Z,P3-C29,NHE_P3-C29_FATP-RUNIN-CI_01,WIP9A23105DD001L3,"Check_voltage
Runin_Checkin
Read_SN
","Check_voltage  None
Runin_Checkin  None
Read_SN  
",1,0,0,0,
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
